Benguellia_lanceolata,Orthosiphon_parvifolius,Orthosiphon_parvifolius
Madlabium_magenteum,Prostanthera_verticillaris,Prostanthera_stricta
Micromeria_acropolitana,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_biflora,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_bourlieri,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_brivesii,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_browiczii,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_cremnophila,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_debilis,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_densiflora,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_elliptica,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_filiformis,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_glomerata,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_guichardi,Micromeria_flagellari,Micromeria_sphaerophylla
Micromeria_hedgei,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_helianthemifolia,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_hispida,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_hochreutineri,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_kerneri,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_lachnophylla,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_lepida,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_leucantha,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_longipedunculata,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_macrosiphon,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_madagascariensis,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_marginata,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_microphylla,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_monantha,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_myrtifolia,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_nervosa,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_peltieri,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_persica,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_sphaciotica,Micromeria_flagellaris,Micromeria_sphaerophylla
Micromeria_weilleri,Micromeria_flagellaris,Micromeria_sphaerophylla
Paralamium_griffithii,Holocheila_longipedunculata,Holocheila_longipedunculata
Renschia_heterotypica,Tinnea_gracilis,Tinnea_vestita
Salvia_absconditiflora,Salvia_reuteriana,Salvia_argentea
Salvia_adenophora,Salvia_madrensis,Salvia_greggii
Salvia_adenophylla,Salvia_ringens,Salvia_cabulica
Salvia_aequidistans,Salvia_aethiopis,Salvia_argentea
Salvia_alamosana,Salvia_coccinea,Salvia_thyrsiflora
Salvia_alata,Salvia_coccinea,Salvia_thyrsiflora
Salvia_alba,Salvia_coccinea,Salvia_thyrsiflora
Salvia_albimaculata,Salvia_ringens,Salvia_cabulica
Salvia_alborosea,Salvia_tortuosa,Salvia_purpurea
Salvia_amplifrons,Salvia_tortuosa,Salvia_purpurea
Salvia_angulata,Salvia_flaccidifolia,Salvia_elegans
Salvia_apiana,Salvia_cacaliifolia,Salvia_macrophylla
Salvia_ariana,Salvia_moorcroftiana,Salvia_palaestina
Salvia_articulata,Salvia_atrocyanea,Salvia_stachydifolia
Salvia_aucheri,salvia_ringens,Salvia_cabulica
Salvia_aurita,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_axillaris,Salvia_mellifera,Salvia_greatae
Salvia_azurea,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_bariensis,Salvia_aristata,Salvia_aegyptiaca
Salvia_betulifolia,Salvia_sessei,Salvia_regla
Salvia_blepharochlaena,Salvia_ringens,Salvia_cabulica
Salvia_brevipes,Salvia_atrocyanea,Salvia_stachydifolia
Salvia_caespitosa,Salvia_ringens,Salvia_cabulica
Salvia_candidissima,Salvia_reuteriana,Salvia_argentea
Salvia_carnea,Salvia_farinacea,Salvia_purpurea
Salvia_castanea,Salvia_aerea,Salvia_cynica
Salvia_cedronella,Salvia_ringens,Salvia_cabulica
Salvia_cerradicola,Salvia_atrocyanea,Salvia_stachydifolia
Salvia_chapalensis,Salvia_coccinea,Salvia_thyrsiflora
Salvia_chiapensis,Salvia_tortuosa,Salvia_purpurea
Salvia_chionantha,Salvia_reuteriana,Salvia_argentea
Salvia_chionophylla,Salvia_coccinea,Salvia_thyrsiflora
Salvia_coahuilensis,Salvia_madrensis,Salvia_greggii
Salvia_cuatrecasana,Salvia_tortuosa,Salvia_purpurea
Salvia_cyanantha,Salvia_reuteriana,Salvia_argentea
Salvia_cyanescens,Salvia_moorcroftiana,Salvia_palaestina
Salvia_cyanicalyx,Salvia_tortuosa,Salvia_purpurea
Salvia_cylindriflora,Salvia_atrocyanea,Salvia_stachydifolia
Salvia_deserti,Salvia_aristata,Salvia_aegyptiaca
Salvia_disjuncta,Salvia_madrensis,Salvia_greggii
Salvia_divaricata,Salvia_ringens,Salvia_cabulica
Salvia_dorrii,Salvia_mellifera,Salvia_greatae
Salvia_engelmannii,Nepetoideae_Salvia_whitehousei,Salvia_texana
Salvia_eriophora,Salvia_reuteriana,Salvia_argentea
Salvia_erythrostephana,Salvia_coccinea,Salvia_thyrsiflora
Salvia_erythrostoma,Salvia_coccinea,Salvia_thyrsiflora
Salvia_euphratica,Salvia_ringens,Salvia_cabulica
Salvia_evansiana,Salvia_heterochroa,Salvia_bulleyana
Salvia_flava,Salvia_plebeia,Salvia_trijuga
Salvia_flocculosa,Salvia_flaccidifolia,Salvia_elegans
Salvia_florida,Salvia_tortuosa,Salvia_purpurea
Salvia_formosa,Salvia_atrocyanea,Salvia_stachydifolia
Salvia_forreri,Salvia_mocinoi,Salvia_prunelloides
Salvia_freyniana,Salvia_ringens,Salvia_cabulica
Salvia_frigida,Salvia_moorcroftiana,Salvia_palaestina
Salvia_geminata,Salvia_aristata,Salvia_aegyptiaca
Salvia_glabrescens,Salvia_plebeia,alvia_trijuga
Salvia_glechomifolia,Salvia_mocinoi,Salvia_prunelloides
Salvia_gracilipes,Salvia_coccinea,Salvia_thyrsiflora
Salvia_halophila,Salvia_viscosa,Salvia_deserta
Salvia_heldreichiana,Salvia_ringens,Salvia_cabulica
Salvia_herbacea,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_hilarii,Salvia_atrocyanea,Salvia_stachydifolia
Salvia_holwayi,Salvia_madrensis,Salvia_greggii
Salvia_huberi,Salvia_ringens,Salvia_cabulica
Salvia_hypargeia,Salvia_moorcroftiana,Salvia_palaestina
Salvia_infuscata,Salvia_coccinea,Salvia_thyrsiflora
Salvia_involucrata,Salvia_madrensis,Salvia_greggii
Salvia_ionocalyx,Salvia_tortuosa,Salvia_purpurea
Salvia_jacobi,Salvia_tortuosa,Salvia_purpurea
Salvia_Japonica,Salvia_roborowskii,Salvia_maximowicziana
Salvia_jurisicii,Salvia_disermas,Salvia_amplexicaulis
Salvia_karwinskii,Salvia_madrensis,Salvia_greggii
Salvia_keerlii,Salvia_flaccidifolia,Salvia_elegans
Salvia_komarovii,Salvia_moorcroftiana,Salvia_palaestina
Salvia_kurdica,Salvia_ringens,Salvia_cabulica
Salvia_leucocephala,Salvia_protracta,Nepetoideae_Salvia_atrocyanea
Salvia_leucochlamys,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_liguliloba,Salvia_plectranthoides,Salvia_chinensis
Salvia_lineata,Salvia_madrensis,Salvia_greggii
Salvia_littae,Salvia_tortuosa,Salvia_purpurea
Salvia_lobbii,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_lutescens,Salvia_roborowskii,Salvia_maximowicziana
Salvia_macellaria,Salvia_madrensis,Salvia_greggii
Salvia_macrochlamys,Salvia_ringens,Salvia_cabulica
Salvia_margaritae,Salvia_aristata,Salvia_aegyptiaca
Salvia_melissodora,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_microphylla,Salvia_madrensis,Salvia_greggii
Salvia_miltiorrhiza,Salvia_plebeia,Salvia_glutinosa
Salvia_modesta,Salvia_reuteriana,Salvia_argentea
Salvia_montbretii,Salvia_moorcroftiana,Salvia_palaestina
Salvia_muelleri,Salvia_madrensis,Salvia_greggii
Salvia_napifolia,Salvia_taraxacifolia,Salvia_judaica
Salvia_nervata,Salvia_tortuosa,Salvia_purpurea
Salvia_nipponica,Salvia_plebeia,Nepetoideae_Salvia_trijuga
Salvia_nutans,Salvia_disermas,Salvia_amplexicaulis
Salvia_officinalis,Salvia_ringens,Salvia_cabulica
Salvia_pansamalensis,Salvia_tortuosa,Salvia_purpurea
Salvia_parryi,Salvia_tricuspidata,Salvia_fruticulosa
Salvia_pavonii,Salvia_atrocyanea,Salvia_stachydifolia
Salvia_persepolitana,Salvia_moorcroftiana,Salvia_palaestina
Salvia_phlomoides,Salvia_montbretii,Salvia_moniliformis
Salvia_pichinchensis,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_pilifera,Salvia_ringens,Salvia_cabulica
Salvia_pinguifolia,Salvia_sessei,Salvia_pubescens
Salvia_pinnata,Salvia_ringens,Salvia_cabulica
Salvia_pisidica,Salvia_ringens,Salvia_cabulica
Salvia_poculata,Salvia_reuteriana,Salvia_argentea
Salvia_potentillifolia,Salvia_ringensens,Salvia_cabulica
Salvia_prasiifolia,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_pratensis,Salvia_austriaca,Salvia_austriaca
Salvia_przewalskii,Salvia_heterochroa,Salvia_bulleyana
Salvia_pulchella,Salvia_madrensis,Salvia_greggii
Salvia_pusilla,Salvia_clinopodioides,Salvia_prunelloides
Salvia_quercetorum,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_quezelii,Salvia_ringens,Salvia_cabulica
Salvia_ramosa,Salvia_flaccidifolia,Salvia_elegans
Salvia_recurva,Salvia_flaccidifolia,Salvia_elegans
Salvia_rhombifolia,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_rhytidea,Salvia_moorcroftiana,Salvia_palaestina
Salvia_rubescens,Salvia_coccinea,Salvia_thyrsiflora
Salvia_rufula,Salvia_tortuosa,Salvia_purpurea
Salvia_russellii,Salvia_taraxacifolia,Salvia_judaica
Salvia_scabiosifolia,Salvia_ringens,Salvia_cabulica
Salvia_scabrida,Salvia_atrocyanea,Salvia_stachydifolia
Salvia_sclareoides,Salvia_amplexicaulis,Salvia_deserta
Salvia_setulosa,Salvia_mocinoi,Salvia_prunelloides
Salvia_sharpii,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_smyrnaea,Salvia_ringens,Salvia_cabulica
Salvia_speciosa,Salvia_hirtella,Salvia_oppositiflora
Salvia_stolonifera,Salvia_madrensis,Salvia_greggii
Salvia_suffruticosa,Salvia_ringens,Salvia_cabulica
Salvia_tchihatcheffii,Salvia_ringens,Salvia_cabulica
Salvia_tobeyi,Salvia_reuteriana,Salvia_argentea
Salvia_tolimensis,Salvia_tortuosa,Salvia_purpurea
Salvia_tomentella,Salvia_atrocyanea,Salvia_stachydifolia
Salvia_trichoclada,Salvia_ringens,Salvia_cabulica
Salvia_tubiflora,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_urica,Salvia_lyrata,Salvia_chamelaeagnea
Salvia_verticillata,Salvia_taraxacifolia,Salvia_judaica
Salvia_vitifolia,Salvia_patens,Salvia_cacaliifolia
Salvia_wagneriana,Salvia_madrensis,Salvia_greggii
Salvia_wiedemannii,Salvia_cabulica,Salvia_hydrangea
Salvia_xanthocheila,Salvia_verbascifolia,Salvia_atropatana
Symphorema_involucratum,Congea_forbesii,Congea_connata
Symphorema_luzonicum,Congea_velutina,Congea_siamensis
